Smiles	MP	ml	pred-lstm	pred_2d	pred-1	pred-3
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])\C([H])=C([H])\C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	64	92.13663	80.337	71.48831	75.80441707	74.93347021
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])[H]	58	80.41174	53.355	85.37262	91.77885124	94.64379666
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(O[H])c1OC([H])([H])[H])[H]	87	80.41174	138.5160767	94.52817	92.3937813	96.42279974
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Br)c(OC([H])([H])[H])c([H])c1O[H])[H]	85	80.085815	136.878595	113.627106	114.7973593	114.4122781
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(OC(F)(F)F)c1O[H])[H]	72	94.000916	123.0551086	77.74448	86.39396214	88.14570599
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(OC([H])(F)F)c1O[H])[H]	71	92.86688	119.9770752	75.83719	85.50880736	87.51309066
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Br)c([H])c(OC([H])([H])[H])c1O[H])[H]	50	72.79208	98.31047974	94.35904	100.1590341	102.174228
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])F	94	100.60397	117.9653259	91.961395	94.69088601	97.43044629
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])Cl	72	117.759796	127.8339478	97.86545	94.96964963	101.4942746
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])Br	83	111.64203	127.1946045	102.285736	103.0887302	104.3210072
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])O[H]	96	101.318	132.6163879	99.676	115.3126782	96.915
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(OC([H])([H])[H])c1O[H])OC([H])([H])[H]	87	91.29816	145.5707336	102.455414	105.1627689	101.621192
c1(c([H])c(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(O[H])c1OC([H])([H])[H])O[H]	50	94.77835	134.2324768	112.10367	105.3969924	105.9700911
